A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,42370,2016,1,1,0,231,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.04167,2016,1,1,1,239,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.08333,2016,1,1,2,205,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.125,2016,1,1,3,167,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.16667,2016,1,1,4,132,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.20833,2016,1,1,5,169,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.25,2016,1,1,6,162,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.29167,2016,1,1,7,123,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.33333,2016,1,1,8,100,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.375,2016,1,1,9,101,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.41667,2016,1,1,10,111,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.45833,2016,1,1,11,115,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.5,2016,1,1,12,135,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.54167,2016,1,1,13,165,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.58333,2016,1,1,14,176,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.625,2016,1,1,15,187,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.66667,2016,1,1,16,207,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.70833,2016,1,1,17,235,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.75,2016,1,1,18,268,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.79167,2016,1,1,19,302,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.83333,2016,1,1,20,330,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.875,2016,1,1,21,345,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.91667,2016,1,1,22,375,µg/m³,1 Hr,Valid
Beijing,PM2.5,42370.95833,2016,1,1,23,400,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371,2016,1,2,0,362,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.04167,2016,1,2,1,321,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.08333,2016,1,2,2,230,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.125,2016,1,2,3,225,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.16667,2016,1,2,4,198,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.20833,2016,1,2,5,191,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.25,2016,1,2,6,199,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.29167,2016,1,2,7,206,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.33333,2016,1,2,8,230,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.375,2016,1,2,9,279,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.41667,2016,1,2,10,199,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.45833,2016,1,2,11,220,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.5,2016,1,2,12,222,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.54167,2016,1,2,13,220,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.58333,2016,1,2,14,198,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.625,2016,1,2,15,208,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.66667,2016,1,2,16,240,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.70833,2016,1,2,17,293,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.75,2016,1,2,18,368,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.79167,2016,1,2,19,493,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.83333,2016,1,2,20,517,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.875,2016,1,2,21,501,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.91667,2016,1,2,22,496,µg/m³,1 Hr,Valid
Beijing,PM2.5,42371.95833,2016,1,2,23,559,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372,2016,1,3,0,530,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.04167,2016,1,3,1,582,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.08333,2016,1,3,2,406,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.125,2016,1,3,3,261,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.16667,2016,1,3,4,244,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.20833,2016,1,3,5,229,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.25,2016,1,3,6,176,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.29167,2016,1,3,7,178,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.33333,2016,1,3,8,166,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.375,2016,1,3,9,131,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.41667,2016,1,3,10,131,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.45833,2016,1,3,11,107,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.5,2016,1,3,12,103,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.54167,2016,1,3,13,100,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.58333,2016,1,3,14,107,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.625,2016,1,3,15,115,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.66667,2016,1,3,16,157,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.70833,2016,1,3,17,208,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.75,2016,1,3,18,214,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.79167,2016,1,3,19,217,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.83333,2016,1,3,20,217,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.875,2016,1,3,21,229,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.91667,2016,1,3,22,239,µg/m³,1 Hr,Valid
Beijing,PM2.5,42372.95833,2016,1,3,23,243,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373,2016,1,4,0,251,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.04167,2016,1,4,1,231,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.08333,2016,1,4,2,70,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.125,2016,1,4,3,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.16667,2016,1,4,4,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.20833,2016,1,4,5,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.25,2016,1,4,6,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.29167,2016,1,4,7,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.33333,2016,1,4,8,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.375,2016,1,4,9,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.41667,2016,1,4,10,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.45833,2016,1,4,11,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.5,2016,1,4,12,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.54167,2016,1,4,13,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.58333,2016,1,4,14,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.625,2016,1,4,15,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.66667,2016,1,4,16,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.70833,2016,1,4,17,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.75,2016,1,4,18,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.79167,2016,1,4,19,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.83333,2016,1,4,20,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.875,2016,1,4,21,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.91667,2016,1,4,22,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,42373.95833,2016,1,4,23,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374,2016,1,5,0,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.04167,2016,1,5,1,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.08333,2016,1,5,2,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.125,2016,1,5,3,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.16667,2016,1,5,4,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.20833,2016,1,5,5,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.25,2016,1,5,6,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.29167,2016,1,5,7,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.33333,2016,1,5,8,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.375,2016,1,5,9,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.41667,2016,1,5,10,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.45833,2016,1,5,11,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.5,2016,1,5,12,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.54167,2016,1,5,13,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.58333,2016,1,5,14,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.625,2016,1,5,15,33,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.66667,2016,1,5,16,45,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.70833,2016,1,5,17,54,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.75,2016,1,5,18,72,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.79167,2016,1,5,19,86,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.83333,2016,1,5,20,91,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.875,2016,1,5,21,101,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.91667,2016,1,5,22,76,µg/m³,1 Hr,Valid
Beijing,PM2.5,42374.95833,2016,1,5,23,55,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375,2016,1,6,0,97,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.04167,2016,1,6,1,47,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.08333,2016,1,6,2,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.125,2016,1,6,3,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.16667,2016,1,6,4,42,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.20833,2016,1,6,5,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.25,2016,1,6,6,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.29167,2016,1,6,7,27,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.33333,2016,1,6,8,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.375,2016,1,6,9,40,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.41667,2016,1,6,10,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.45833,2016,1,6,11,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.5,2016,1,6,12,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,42375.54167,2016,1,6,13,11,µg/m³,1 Hr,Valid
