Date,Open,High,Low,Close,Volume,Adj Close
42727,38.459999,38.810001,38.369999,38.66,3840100,38.66
42726,38.689999,38.790001,38.259998,38.5,11685600,38.5
42725,39.080002,39.32,38.970001,39.150002,8263600,39.150002
42724,38.400002,39.18,38.240002,39.16,15007900,39.16
42723,38.66,38.790001,38.27,38.419998,13607200,38.419998
42720,38.619999,39.220001,38.419998,38.610001,21447400,38.610001
42719,40,40,38.25,38.41,43656200,38.41
42718,41.439999,41.529999,40.830002,40.91,19296600,40.91
42717,41.349998,41.790001,41.139999,41.470001,6500400,41.470001
42716,41.450001,41.529999,41.130001,41.299999,4451500,41.299999
42713,41.52,41.799999,41.439999,41.759998,6836000,41.759998
42712,40.66,41.599998,40.419998,41.41,9169400,41.41
42711,39.98,40.57,39.75,40.52,7199000,40.52
42710,40.310001,40.419998,39.880001,39.970001,6943800,39.970001
42709,40.02,40.389999,39.849998,40.200001,4401700,40.200001
42706,39.77,40.32,39.580002,40.07,8568100,40.07
42705,41,41.040001,39.529999,39.630001,12614600,39.630001
42704,41.619999,41.669998,40.880001,41.02,7624500,41.02
42703,41.43,41.830002,41.119999,41.599998,7246100,41.599998
42702,40.849998,41.700001,40.740002,41.450001,6765800,41.450001
42699,41.080002,41.080002,40.709999,40.869999,2586900,40.869999
42697,40.91,40.98,40.549999,40.959999,3634900,40.959999
42696,41.200001,41.400002,40.830002,41.009998,8881200,41.009998
42695,41.439999,41.48,40.939999,41.110001,11338000,41.110001
42692,41.48,41.650002,40.900002,41.189999,8129700,41.189999
42691,41.34,41.650002,41.200001,41.450001,8689300,41.450001
42690,40.099998,41.049999,40.099998,40.98,15592700,40.98
42689,39.610001,40.450001,39.580002,40.209999,10851400,40.209999
42688,40.360001,40.389999,38.869999,39.299999,12687400,39.299999
42685,39.84,40.52,39.369999,40.419998,15178200,40.419998
42684,41.549999,41.650002,39.540001,40.16,16441900,40.16
42683,40.439999,41.389999,40.220001,41.209999,23998600,41.209999
42682,40.970001,41.279999,40.68,41.16,4227100,41.16
42681,41.169998,41.23,40.860001,41.049999,5388700,41.049999
42678,39.959999,40.669998,39.799999,40.279999,4574200,40.279999
42677,40.619999,40.75,40.169998,40.23,7811600,40.23
42676,41.799999,42.16,40.360001,40.68,13017500,40.68
42675,41.130001,41.34,40.689999,41.330002,11748900,41.330002
42674,42.029999,42.16,41.549999,41.549999,3730800,41.549999
42671,42.029999,42.220001,41.709999,41.779999,6180200,41.779999
42670,42.310001,42.490002,41.810001,41.869999,7236500,41.869999
42669,42.259998,42.439999,41.950001,42.080002,6117200,42.080002
42668,42.720001,42.75,42.43,42.549999,5338900,42.549999
42667,42.5,42.68,42.380001,42.59,4346900,42.59
42664,42.099998,42.200001,41.73,42.169998,7194200,42.169998
42663,42.689999,42.689999,42.07,42.380001,11671000,42.380001
42662,42.299999,42.939999,42.259998,42.73,14532500,42.73
42661,42.040001,42.610001,41.630001,41.68,19360800,41.68
42660,41.349998,41.939999,41.240002,41.790001,8620400,41.790001
42657,42.040001,42.25,41.41,41.439999,7781300,41.439999
42656,42,42.080002,41.169998,41.619999,15689700,41.619999
42655,42.599998,42.779999,42.049999,42.360001,7290500,42.360001
42654,43.869999,44.080002,42.490002,42.68,9513300,42.68
42653,43.360001,44.07,43.25,43.919998,6573600,43.919998
42650,43.259998,43.68,43.119999,43.220001,8502100,43.220001
42649,43.639999,43.82,43.369999,43.68,6293900,43.68
42648,43.23,43.869999,43.220001,43.709999,6117900,43.709999
42647,43.200001,43.5,42.959999,43.18,8998400,43.18
42646,42.950001,43.18,42.82,43.130001,7965900,43.130001
42643,42.740002,43.25,42.720001,43.099998,10374800,43.099998
42642,43.169998,43.299999,42.43,42.57,13720700,42.57
42641,43.400002,43.720001,43.25,43.689999,7419000,43.689999
42640,42.43,43.41,42.32,43.369999,8765000,43.369999
42639,42.380001,42.740002,41.849998,42.290001,12745100,42.290001
42636,43.5,43.759998,42.540001,42.799999,31888500,42.799999
42635,43.939999,44.869999,43.740002,44.150002,33355600,44.150002
42634,42.889999,44.220001,42.889999,44.139999,12313700,44.139999
42633,43.240002,43.389999,42.66,42.790001,9788900,42.790001
42632,43.919998,43.950001,43,43.189999,7887400,43.189999
42629,43.939999,44.02,43.470001,43.669998,19093900,43.669998
42628,43.41,44.049999,43.220001,43.990002,12533900,43.990002
42627,42.91,43.619999,42.860001,43.459999,11617300,43.459999
42626,43.189999,43.52,42.689999,43.040001,10132000,43.040001
42625,42.279999,43.650002,42.18,43.459999,10808800,43.459999
42622,43.919998,44.150002,42.82,42.919998,12060700,42.919998
42621,44.07,44.720001,44.029999,44.360001,7882600,44.360001
42620,44.549999,44.919998,44.189999,44.349998,9109400,44.349998
42619,43.5,44.849998,43.5,44.709999,18125800,44.709999
42615,43.27,43.599998,43.080002,43.279999,7339000,43.279999
42614,42.779999,43.099998,42.720001,42.93,5575300,42.93
42613,42.459999,42.799999,42.459999,42.75,7715900,42.75
42612,42.279999,42.740002,42.279999,42.580002,5804100,42.580002
42611,42.200001,42.459999,42.080002,42.259998,4555600,42.259998
42608,42.150002,42.610001,41.939999,42.27,6328000,42.27
42607,41.830002,42.240002,41.73,42.029999,5360900,42.029999
42606,42.5,42.77,41.790001,41.91,6930300,41.91
42605,42.610001,42.91,42.450001,42.599998,8963800,42.599998
42604,42.84,42.869999,42.330002,42.52,6229400,42.52
42601,42.799999,43.119999,42.650002,43.02,9460800,43.02
42600,42.689999,42.970001,42.59,42.900002,11293900,42.900002
42599,42.389999,42.75,42.389999,42.700001,8571900,42.700001
42598,42.299999,42.790001,41.950001,42.490002,13793800,42.490002
42597,43.18,43.290001,42.43,42.669998,14441800,42.669998
42594,41.279999,42.98,41.279999,42.939999,25182900,42.939999
42593,41.119999,41.73,40.93,41.27,23938900,41.27
42592,39.34,39.98,39.299999,39.93,12981600,39.93
42591,39.240002,39.310001,39.099998,39.240002,5971500,39.240002
42590,39,39.27,38.860001,39.240002,10131300,39.240002
42587,39,39.150002,38.900002,38.990002,9127100,38.990002
42586,38.470001,39.029999,38.43,38.919998,11000800,38.919998
42585,38.43,38.549999,38.279999,38.389999,5890100,38.389999
42584,38.599998,38.669998,38.259998,38.57,7504700,38.57
42583,38.18,38.889999,38.099998,38.799999,9605000,38.799999
42580,38.470001,38.52,38.080002,38.189999,13199100,38.189999
42579,38.580002,38.639999,38.23,38.52,7424400,38.52
42578,38.66,38.77,38.43,38.66,12148400,38.66
42577,38.07,38.830002,37.900002,38.759998,15978600,38.759998
42576,39.200001,39.209999,38.220001,38.32,41814400,38.32
42573,38.900002,39.419998,38.779999,39.380001,11325700,39.380001
42572,39.009998,39.25,38.720001,38.849998,7671800,38.849998
42571,38.360001,38.93,38.259998,38.900002,8178000,38.900002
42570,37.77,38.490002,37.650002,38.169998,10394000,38.169998
42569,37.68,37.970001,37.5,37.950001,16046800,37.950001
42566,38.16,38.189999,37.68,37.720001,13513400,37.720001
42565,37.849998,38.349998,37.849998,37.959999,10713000,37.959999
42564,37.990002,38.009998,37.459999,37.639999,9566100,37.639999
42563,38,38.330002,37.869999,37.889999,15224000,37.889999
42562,37.439999,38.150002,37.369999,37.959999,20342600,37.959999
42559,37.529999,37.84,37.060001,37.740002,8786600,37.740002
42558,37.57,37.759998,37.290001,37.52,9031400,37.52
42557,37.43,37.560001,37.130001,37.509998,8328100,37.509998
42556,37.68,37.77,37.169998,37.5,8746700,37.5
42552,37.560001,38.080002,37.43,37.990002,10602800,37.990002
42551,36.889999,37.580002,36.889999,37.560001,15209900,37.560001
42550,36.25,37.080002,36.25,36.860001,10808200,36.860001
42549,35.580002,36.139999,35.5,36.040001,10990700,36.040001
42548,35.869999,36.009998,35.049999,35.220001,14108600,35.220001
42545,36.400002,36.950001,36.09,36.240002,19657800,36.240002
42544,37.639999,37.779999,37.41,37.779999,7710900,37.779999
42543,37.369999,37.52,37.169998,37.360001,6279200,37.360001
42542,37.369999,37.549999,37.200001,37.400002,5574600,37.400002
42541,37.27,37.68,37.240002,37.290001,8957300,37.290001
42538,37.43,37.439999,36.810001,36.939999,12593900,36.939999
42537,37.389999,37.450001,36.540001,37.389999,10634000,37.389999
42536,37.43,37.599998,37.099998,37.32,10213200,37.32
42535,36.630001,37.439999,36.630001,37.400002,13023100,37.400002
42534,36.700001,36.91,36.419998,36.470001,6519800,36.470001
42531,36.970001,37.139999,36.59,36.830002,11216500,36.830002
42530,36.82,37.73,36.709999,37.349998,14759100,37.349998
42529,36.84,37.299999,36.84,36.970001,9181900,36.970001
42528,36.900002,36.990002,36.630001,36.73,14757100,36.73
42527,36.669998,37.200001,36.52,37.07,8426100,37.07
42524,37.110001,37.110001,36.5,36.599998,12059100,36.599998
42523,36.66,37.220001,36.580002,37.150002,12179300,37.150002
42522,37.25,37.740002,36.560001,36.650002,22177600,36.650002
42521,37.73,38.080002,37.5,37.939999,12873600,37.939999
42517,36.880001,37.880001,36.84,37.82,14642500,37.82
42516,36.130001,36.849998,36.07,36.759998,16285700,36.759998
42515,36.630001,36.959999,35.470001,35.59,33984900,35.59
42514,36.849998,37.630001,36.77,37.529999,10623800,37.529999
42513,36.459999,36.950001,36.43,36.66,7785800,36.66
42510,36.049999,36.720001,35.880001,36.5,34330700,36.5
42509,36.939999,37.23,36.669998,37.02,7127500,37.02
42508,37.09,37.5,36.889999,37.240002,8465900,37.240002
42507,37.439999,37.700001,37.25,37.27,11340300,37.27
42506,37.029999,37.790001,36.880001,37.48,16995100,37.48
42503,36.91,37.07,36.380001,36.48,11073200,36.48
42502,37.389999,37.509998,36.790001,37.029999,11170900,37.029999
42501,37.279999,37.630001,37.200001,37.369999,10010800,37.369999
42500,37.169998,37.580002,37.139999,37.439999,7178500,37.439999
42499,36.970001,37.349998,36.919998,37.18,6157400,37.18
42496,36.549999,37.310001,36.490002,37.23,9208300,37.23
42495,37.060001,37.450001,36.860001,36.939999,13718900,36.939999
42494,35.810001,36.09,35.740002,36,9668700,36
42493,36.25,36.41,35.91,36.009998,9088800,36.009998
42492,36.650002,36.740002,36.32,36.529999,6585500,36.529999
42489,36.509998,36.98,36.150002,36.599998,12006800,36.599998
42488,36.84,37.439999,36.509998,36.59,13175900,36.59
42487,37.52,37.59,36.630001,36.950001,16401800,36.950001
42486,37.32,37.540001,36.91,37.110001,10083100,37.110001
42485,37.470001,37.540001,37.18,37.23,9832100,37.23
42482,37.5,38.09,37.16,37.48,9106700,37.48
42481,37.919998,38.119999,37.349998,37.669998,11658700,37.669998
42480,37.099998,38.189999,37,37.84,30761900,37.84
42479,36.459999,36.73,36.110001,36.330002,20460600,36.330002
42478,36.240002,37,35.880001,36.52,17723000,36.52
42475,37.130001,37.150002,36.419998,36.509998,19046900,36.509998
42474,37.470001,37.5,36.849998,37.169998,16620000,37.169998
42473,36.939999,37.349998,36.900002,37.310001,17166400,37.310001
42472,36.650002,36.830002,36.279999,36.66,10447800,36.66
42471,36.380001,36.849998,36.32,36.48,13750800,36.48
42468,36.849998,36.919998,35.619999,36.07,20273400,36.07
42467,35.860001,37.25,35.720001,36.169998,38789100,36.169998
42466,36.400002,37,36.310001,36.66,19445000,36.66
42465,36.700001,36.919998,36.220001,36.41,12443000,36.41
42464,36.549999,37.5,36.540001,37.02,20227300,37.02
42461,36.540001,36.880001,36.310001,36.48,13656200,36.48
42460,36.509998,37.02,36.5,36.810001,18679000,36.810001
42459,36.610001,37.279999,36.439999,36.560001,19849800,36.560001
42458,35.049999,36.43,35.009998,36.32,23603400,36.32
42457,35.389999,35.450001,34.619999,35.23,12981000,35.23
42453,34.450001,34.869999,33.93,34.860001,14118600,34.860001
42452,35.43,35.700001,34.709999,34.799999,12217700,34.799999
42451,34.68,35.610001,34.68,35.41,11613900,35.41
42450,35,36.099998,35,35.470001,13551300,35.470001
42447,34.540001,35.209999,34.380001,35.169998,20552600,35.169998
42446,33.880001,34.549999,33.869999,34.279999,9335700,34.279999
42445,33.029999,34.080002,33,34.009998,11002500,34.009998
42444,33.32,33.459999,33.110001,33.259998,10672300,33.259998
42443,33.75,34.09,33.509998,33.580002,8252700,33.580002
42440,33.290001,33.860001,32.84,33.810001,12380800,33.810001
42439,33.59,33.599998,32.09,32.82,19452000,32.82
42438,33.09,33.52,32.779999,33.509998,12653200,33.509998
42437,33.66,33.82,32.84,32.93,21043800,32.93
42436,33.68,34.380001,33.59,33.959999,22924000,33.959999
42433,32.91,33.93,32.759998,33.860001,22946600,33.860001
42432,32.709999,33.209999,32.419998,32.880001,11361400,32.880001
42431,32.810001,33.240002,32.77,32.91,10462200,32.91
42430,32.040001,32.849998,32.040001,32.799999,14850900,32.799999
42429,31.309999,32.459999,31.309999,31.790001,21168500,31.790001
42426,31.68,31.9,31.219999,31.370001,16683500,31.370001
42425,30.74,31.360001,30.24,31.360001,19907400,31.360001
42424,30.41,31.120001,29.799999,30.950001,12613500,30.950001
42423,31.200001,31.379999,30.51,30.67,17072300,30.67
42422,30.65,31.209999,30.389999,31.17,21465100,31.17
42419,30.190001,30.23,29.700001,30.040001,20735000,30.040001
42418,29.559999,30.139999,29.389999,29.42,15319400,29.42
42417,29.469999,29.66,29.059999,29.370001,12949700,29.370001
42416,27.98,29.440001,27.940001,29.280001,20187900,29.280001
42412,27.120001,27.32,26.719999,27.040001,13011900,27.040001
42411,26.459999,26.969999,26.15,26.76,11188200,26.76
